,0,Cryptocurrency
ADA_Close,10.704583517063812,ADA_Close
BCH_Close,2.2935703296825145,BCH_Close
BNB_Close,9.726642738500445,BNB_Close
BTC_Close,3.5249592056879124,BTC_Close
DOGE_Close,22.2717801968129,DOGE_Close
EOS_Close,2.222253558339923,EOS_Close
ETC_Close,2.506549463526351,ETC_Close
ETH_Close,4.189844427102371,ETH_Close
FIL_Close,5.751372479064084,FIL_Close
LINK_Close,2.671036787167702,LINK_Close
LTC_Close,2.998819406940654,LTC_Close
MKR_Close,3.4945289258451906,MKR_Close
THETA_Close,16.78964113613085,THETA_Close
TRX_Close,2.8265396990834377,TRX_Close
VET_Close,7.142779462033976,VET_Close
XLM_Close,4.568135118665742,XLM_Close
XMR_Close,1.832947374527989,XMR_Close
XRP_Close,2.1313972042157276,XRP_Close
